Item,Quantity
jumper wire  m-f,280
jumper wire  m-m,244
esp32,11
serial interface board for lcd16*2,3
rfid scanner,3
lcd 16*2,3
2 cell battery holder,2
flex sensor,3
servo motor mg90s,7
mpu-6050 3-axis accelerometer and gyro sensor,2
servo motor sg90,10
2 relay module,1
buzzer 24v,0
large bread board,1
node mcu,1
jumper wire f-f,209
12v battery connector,3
1k ohm resis.,8
100k ohm resis.,9
green led,44
red led,44
yellow led,44
bc547 transistor,3
Raspberrypi 4b,3
128GB SD Card SanDisk,2
Raspberrypi power supply,2
esp32 cam module,3
IR Sensor,12
Wire Stripper,3
3 cell battery holder,8
HW-130 motor control,5
LM-2596 Buck Converter,5
Arduino UNO,6
Stepper Motor,1
Dot solder board,15
IR sensor type 2,1
Level shifter 4 pin,3
level shifter 8 pin,3
PIR Motion Sensor,3
MQ-2 Gas Sensor,3
DHT-11 Temp Sensor,3
Relay,5
30 pin breadboard,7
Solder Iron,2
Ultrasonic Sensor,5
Raspberrypi case,2
Header Pins m-f,4
Header Pins m-m,4
"car kit ( 2-chasis,4-wheels,4- gear motors )",2
Rapberrypi cam,1
Cell Charger,2
Blue led,40
White Led,40
Buzzer Module,3
32 in 1 screwdriver set,1
9.2m electronic wire,2
Rainbow wire roll,1
5V/4A Adapters,2
USB to Micro USB,6
Raspberrypi Cable,2
breadboard green small,5
9v battery connector,10
Solder wire roll,5
Solder Flux,2
Insulation Tape,10
2500mah cells,23
3.5mm jack (audio) not req,20
Webcam short,1
Webcam long,1
